Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
14062004,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0141033576""","=""9780141033570""",4,4.16,Penguin,Paperback,499,2012,2011,2018/03/17,2015/05/22,,,read,,,,1,,,1,,,unspecified,,
38581057,This Is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,"Kay, Adam",,"=""""","=""""",5,4.40,Picador,Audible Audio,6,2017,2017,2019/12/20,2019/12/19,,,read,,,,1,,,0,,,,,
70897,The Secret History,Donna Tartt,"Tartt, Donna",,"=""0140167773""","=""9780140167771""",3,4.10,Penguin Books,Paperback,629,1993,1992,2019/08/19,2019/08/19,fiction,fiction (#6),read,,,,1,,,0,,,,,
12802745,The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker,"Pinker, Steven",,"=""""","=""""",5,4.14,Penguin Publishing,Kindle Edition,832,2011,2010,2019/05/01,2017/12/03,,,read,,,,1,,,0,,,,,
30753724,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,"=""1501135929""","=""9781501135927""",4,4.48,Scribner,Paperback,400,2018,2016,2018/11/27,2018/09/15,,,read,,,,1,,,1,,,unspecified,,
26147,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Ilse Lasch, Gordon W. Allport","=""1844132390""","=""9781844132393""",5,4.35,Rider,Paperback,160,2004,1946,2018/11/28,2017/11/21,,,read,,,,1,,,1,,,unspecified,,
37976541,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Carreyrou, John",,"=""152473165X""","=""9781524731656""",5,4.40,Knopf Publishing Group,Hardcover,339,2018,2018,2018/12/01,2018/11/09,,,read,,,,1,,,1,,,unspecified,,
40268935,Barbarians at the Gate: The Fall of RJR Nabisco,Bryan Burrough,"Burrough, Bryan",,"=""""","=""""",4,4.26,HarperCollins e-books; Reprint edition,Kindle Edition,592,2009,1990,2019/05/01,2017/03/13,,,read,,,,1,,,0,,,,,
24310994,Unbroken: An Extraordinary True Story of Courage and Survival,Laura Hillenbrand,"Hillenbrand, Laura",,"=""0007580576""","=""9780007580576""",5,4.36,Fourth Estate,Paperback,500,2014,2010,2019/01/01,2017/11/21,,,read,,,,1,,,1,,,unspecified,,
23291,Dubliners,James Joyce,"Joyce, James",,"=""""","=""""",4,3.85,Penguin Books,Paperback,368,2000,1914,2019/02/01,2019/02/16,fiction,fiction (#11),read,,,,1,,,1,,,unspecified,,
28092883,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""1784161853""","=""9781784161859""",4,4.19,Black Swan,Paperback,668,2016,2003,2019/01/01,2015/06/14,,,read,,,,1,,,1,,,unspecified,,
12969063,Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,"Foer, Joshua",,"=""0141032138""","=""9780141032139""",3,3.88,Penguin,Paperback,307,2012,2011,2019/01/01,2017/12/12,,,read,,,,1,,,1,,,unspecified,,
37944583,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Peterson, Jordan B.",Norman Doidge,"=""""","=""""",1,3.93,Random House Canada,Audible Audio,16,2018,2018,2020/01/01,2020/01/22,,,read,,,,1,,,0,,,,,
26195941,The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,Shoshana Zuboff,"Zuboff, Shoshana",,"=""1610395697""","=""9781610395694""",4,4.08,PublicAffairs,Hardcover,691,2019,2018,2021/03/01,2020/09/28,,,read,,,,1,,,1,,,unspecified,,
55535828,A Life on Our Planet: My Witness Statement and a Vision for the Future,David Attenborough,"Attenborough, David",,"=""1473587719""","=""9781473587717""",4,4.52,Penguin Audio,Audiobook,7,2020,2020,2021/04/12,2020/11/19,,,read,,,,1,,,0,,,,,
54500448,Trick Mirror: Reflections on Self-Delusion,Jia Tolentino,"Tolentino, Jia",,"=""""","=""9780008294960""",0,4.15,HarperCollins Publishers,Audiobook,,2019,2019,,2021/03/05,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
30257753,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,"Lewis, Michael",,"=""""","=""""",4,4.24,Random House Audio,Audible Audio,10,2011,2003,2021/04/03,2018/11/28,,,read,,,,1,,,0,,,,,
50618656,How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill  Gates,"Gates, Bill",Wil Wheaton,"=""""","=""""",3,4.24,Random House Audio,Audible Audio,8,2020,2021,2021/03/28,2021/03/22,,,read,,,,1,,,0,,,,,
51184737,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"Gladwell, Malcolm",,"=""""","=""""",4,3.94,Hachette Audio UK,Audible Audio,,2006,2005,2020/12/01,2020/12/16,,,read,,,,1,,,0,,,,,
7575215,How Many Miles to Babylon?,Jennifer Johnston,"Johnston, Jennifer",,"=""0141046961""","=""9780141046969""",0,3.58,Penguin,Paperback,160,2010,1974,2010/01/01,2020/06/17,fiction,fiction (#39),read,,,,1,,,0,,,,,
