Title,Author,My Rating,Average Rating,Publisher,Binding,Number of Pages,Original Publication Year,Date Read,Format,Main Title,Subtitle,Series
"Thinking, Fast and Slow",Daniel Kahneman,4.0,4.16,Penguin,Paperback,499.0,2011,2018-03-17,Physical,"Thinking, Fast and Slow",,
This Is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,5.0,4.4,Picador,Audible Audio,,2017,2019-12-20,Audiobook,This Is Going to Hurt, Secret Diaries of a Junior Doctor,
The Secret History,Donna Tartt,3.0,4.1,Penguin,Paperback,629.0,1992,2019-08-19,Physical,The Secret History,,
The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker,5.0,4.14,Penguin,Kindle Edition,832.0,2010,2019-05-01,Digital,The Better Angels of Our Nature, Why Violence Has Declined,
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,4.0,4.48,Scribner,Paperback,400.0,2016,2018-11-27,Physical,Shoe Dog, A Memoir by the Creator of Nike,
Man's Search for Meaning,Viktor E. Frankl,5.0,4.35,Rider,Paperback,160.0,1946,2018-11-28,Physical,Man's Search for Meaning,,
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,5.0,4.4,Knopf Publishing Group,Hardcover,339.0,2018,2018-12-01,Physical,Bad Blood, Secrets and Lies in a Silicon Valley Startup,
Barbarians at the Gate: The Fall of RJR Nabisco,Bryan Burrough,4.0,4.26,HarperCollins,Kindle Edition,592.0,1990,2019-05-01,Digital,Barbarians at the Gate, The Fall of RJR Nabisco,
Unbroken: An Extraordinary True Story of Courage and Survival,Laura Hillenbrand,5.0,4.36,Fourth Estate,Paperback,500.0,2010,2019-01-01,Physical,Unbroken, An Extraordinary True Story of Courage and Survival,
Dubliners,James Joyce,4.0,3.85,Penguin,Paperback,368.0,1914,2019-02-01,Physical,Dubliners,,
A Short History of Nearly Everything,Bill Bryson,4.0,4.19,Black Swan,Paperback,668.0,2003,2019-01-01,Physical,A Short History of Nearly Everything,,
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,3.0,3.88,Penguin,Paperback,307.0,2011,2019-01-01,Physical,Moonwalking with Einstein, The Art and Science of Remembering Everything,
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,1.0,3.93,Random House,Audible Audio,,2018,2020-01-01,Audiobook,12 Rules for Life, An Antidote to Chaos,
The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,Shoshana Zuboff,4.0,4.08,PublicAffairs,Hardcover,691.0,2018,2021-03-01,Physical,The Age of Surveillance Capitalism, The Fight for a Human Future at the New Frontier of Power,
A Life on Our Planet: My Witness Statement and a Vision for the Future,David Attenborough,4.0,4.52,Penguin,Audiobook,,2020,2021-04-12,Audiobook,A Life on Our Planet, My Witness Statement and a Vision for the Future,
Moneyball: The Art of Winning an Unfair Game,Michael Lewis,4.0,4.24,Random House,Audible Audio,,2003,2021-04-03,Audiobook,Moneyball, The Art of Winning an Unfair Game,
How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill  Gates,3.0,4.24,Random House,Audible Audio,,2021,2021-03-28,Audiobook,How to Avoid a Climate Disaster, The Solutions We Have and the Breakthroughs We Need,
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,4.0,3.94,Hachette Audio UK,Audible Audio,,2005,2020-12-01,Audiobook,Blink, The Power of Thinking Without Thinking,
How Many Miles to Babylon?,Jennifer Johnston,,3.58,Penguin,Paperback,160.0,1974,2010-01-01,Physical,How Many Miles to Babylon?,,
The Lonesome West,Martin McDonagh,4.0,3.99,Bloomsbury,Paperback,96.0,1997,2010-01-01,Physical,The Lonesome West,,
Open: An Autobiography,Andre Agassi,4.0,4.25,Random House,Audiobook,,2009,2021-03-15,Audiobook,Open, An Autobiography,
The Tattooist of Auschwitz,Heather   Morris,5.0,4.26,Bolinda Publishing Pty Ltd,Audible Audio,,2018,2021-03-12,Audiobook,The Tattooist of Auschwitz,,
Who Is Michael Ovitz?,Michael Ovitz,3.0,4.19,Penguin,Audible Audio,,,2021-03-08,Audiobook,Who Is Michael Ovitz?,,
Why I'm No Longer Talking to White People about Race,Reni Eddo-Lodge,3.0,4.39,Audible Studios,Audible Audio,,2017,2021-03-03,Audiobook,Why I'm No Longer Talking to White People about Race,,
The Uninhabitable Earth: Life After Warming,David Wallace-Wells,5.0,4.06,Random House,Audiobook,,2019,2021-02-27,Audiobook,The Uninhabitable Earth, Life After Warming,
The Psychopath Test: A Journey Through the Madness Industry,Jon Ronson,3.0,3.94,Macmillan Digital Audio,Audible Audio,,2011,2021-02-14,Audiobook,The Psychopath Test, A Journey Through the Madness Industry,
"Dune (Dune, #1)",Frank Herbert,4.0,4.23,Hodder,Paperback,577.0,1965,2021-01-20,Physical,Dune,,Dune
Why We're Polarized,Ezra Klein,4.0,4.27,Profile Books,Paperback,336.0,2020,2020-12-17,Physical,Why We're Polarized,,
"Guns, Germs and Steel: A Short History of Everybody for the Last 13,000 Years",Jared Diamond,5.0,4.03,Vintage,Paperback,592.0,1997,2020-12-14,Physical,"Guns, Germs and Steel"," A Short History of Everybody for the Last 13,000 Years",
Rage,Bob Woodward,4.0,4.18,Simon & Schuster,Audible Audio,,2020,2020-12-08,Audiobook,Rage,,
The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,5.0,4.13,Bloomsbury,Paperback,319.0,2014,2020-11-25,Physical,The Sixth Extinction, An Unnatural History,
Utopia for Realists: And How We Can Get There,Rutger Bregman,4.0,4.25,Bloomsbury,Paperback,316.0,2014,2020-10-28,Physical,Utopia for Realists, And How We Can Get There,
"Artemis Fowl and the Time Paradox (Artemis Fowl, #6)",Eoin Colfer,,4.08,Puffin,Hardcover,369.0,2008,,Physical,The Time Paradox,,Artemis Fowl
Fantastic Mr. Fox,Roald Dahl,,4.06,Puffin,Paperback,96.0,1970,,Physical,Fantastic Mr. Fox,,
Animal Farm,George Orwell,4.0,3.96,Penguin,Paperback,112.0,1945,,Physical,Animal Farm,,
"Ark Angel (Alex Rider, #6)",Anthony Horowitz,,4.12,Walker,Paperback,344.0,2005,,Physical,Ark Angel,,Alex Rider
The Witches,Roald Dahl,,4.15,Puffin,Paperback,208.0,1983,,Physical,The Witches,,
"Boy: Tales of Childhood (Roald Dahl's Autobiography, #1)",Roald Dahl,,4.05,Puffin,Paperback,176.0,1984,,Physical,Boy, Tales of Childhood,Roald Dahl's Autobiography
"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,,4.16,Random House,Hardcover,61.0,1957,,Physical,The Cat in the Hat,,The Cat in the Hat
